Trend in Global Extinction Risk as Measured by the Red List Index,,,Trend in Global Extinction Risk of marine life  as Measured by the Red List Index,,,cumalative glacier mass balance (m w e),,,Global freshwater use over the long-run,,, CO2 concentrations in parts per million (ppm),,,GLOBAL LAND-OCEAN TEMPERATURE INDEX,,,Global Annual Glacier Mass Balance (Gt/year) ,,
2020,0.730520499,,1993,0.892427364,,1950,5.38,,1901,6.71E+11,,1958,315.69,,1880,-0.1,,1962,-220,320
2019,0.734190553,,1994,0.891611443,,1951,5.04,,1902,6.85E+11,,1958,317.45,,1881,-0.13,,1963,-35,319
2018,0.738544753,,1995,0.889667877,,1952,4.48,,1903,6.55E+11,,1958,317.5,,1882,-0.17,,1964,72,320
2017,0.741610242,,1996,0.886192535,,1953,3.92,,1904,7.00E+11,,1958,315.86,,1883,-0.21,,1965,-22,318
2016,0.745529589,,1997,0.883104225,,1954,3.5,,1905,7.01E+11,,1958,314.93,,1884,-0.24,,1966,-89,317
2015,0.749085408,,1998,0.878776758,,1955,3.87,,1906,6.97E+11,,1958,313.21,,1885,-0.27,,1967,-52,316
2014,0.752733938,,1999,0.873833219,,1956,3.71,,1907,7.31E+11,,1958,313.33,,1886,-0.28,,1968,-113,316
2013,0.755934548,,2000,0.867971886,,1957,3.62,,1908,7.19E+11,,1958,314.67,,1887,-0.28,,1969,-153,246
2012,0.759558791,,2001,0.863599913,,1958,2.75,,1909,7.29E+11,,1959,315.58,,1888,-0.27,,1970,-137,239
2011,0.762257434,,2002,0.857272972,,1959,2.28,,1910,7.21E+11,,1959,316.48,,1889,-0.26,,1971,-153,232
2010,0.765679799,,2003,0.852073281,,1960,1.7,,1911,7.46E+11,,1959,316.65,,1890,-0.26,,1972,-107,229
2009,0.769862521,,2004,0.846409476,,1961,1.27,,1912,7.67E+11,,1959,317.72,,1891,-0.26,,1973,-57,226
2008,0.773765373,,2005,0.841457344,,1962,1.06,,1913,8.15E+11,,1959,318.29,,1892,-0.27,,1974,-146,223
2007,0.777641252,,2006,0.835692219,,1963,0.71,,1914,7.87E+11,,1959,318.15,,1893,-0.27,,1975,-37,228
2006,0.781388655,,2007,0.829853372,,1964,1.03,,1915,7.95E+11,,1959,316.54,,1894,-0.25,,1976,-41,209
